year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2019,AUS,Australia,THA,Thailand,632139.458,309713.157,0
2019,NGA,Nigeria,POL,Poland,631775.876,1249614.0,0
2019,DZA,Algeria,AUS,Australia,621850.547,1353370.0,0
2019,COG,Congo,IND,India,619296.255,1335720.379,0
2019,USA,USA,ITA,Italy,618490.83,1416316.178,0
2019,LBY,Libya,GRC,Greece,615156.33,1277734.84,0
2019,DZA,Algeria,PRT,Portugal,614701.742,1182389.2,0
2019,RUS,Russian Federation,ESP,Spain,613909.046,1489791.327,0
2019,VEN,Venezuela,MYS,Malaysia,612237.127,2033000.0,0
2019,IRQ,Iraq,AUT,Austria,611098.241,1346430.0,0
2019,DZA,Algeria,ITA,Italy,601544.725,1195240.0,0
2019,LBY,Libya,ARE,United Arab Emirates,597887.89,1070334.8,0
2019,CAN,Canada,NLD,Netherlands,593117.879,1066933.43,0
2019,SAU,Saudi Arabia,PRT,Portugal,589576.308,1243609.3,0
2019,AUS,Australia,MYS,Malaysia,587787.092,1317160.62,0
2019,LBY,Libya,DEU,Germany,586443.844,1514080.545,0
2019,VNM,Viet Nam,CHN,China,585770.573,1173069.518,0
2019,BRN,Brunei Darussalam,IND,India,583780.598,1163175.625,0
2019,BEL,Belgium,NLD,Netherlands,562535.212,988058.905,0
2019,CAN,Canada,GBR,United Kingdom,560127.072,1215116.0,0
2019,GHA,Ghana,USA,USA,558825.519,1130060.38,0
2019,DZA,Algeria,USA,USA,545162.091,1131341.58,0
2019,AGO,Angola,THA,Thailand,542310.584,1386165.975,0
2019,KAZ,Kazakhstan,MYS,Malaysia,540093.172,1016800.0,0
2019,LBY,Libya,AUS,Australia,530994.263,1086923.422,0
2019,AZE,Azerbaijan,FRA,France,530040.611,1084016.714,0
2019,EGY,Egypt,ITA,Italy,519804.292,1092520.0,0
2019,COG,Congo,USA,USA,515973.794,808191.286,0
2019,RUS,Russian Federation,PRT,Portugal,513395.402,1157227.243,0
2019,EGY,Egypt,GRC,Greece,512948.614,1042832.9,0
